Пессимистический;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Темп роста ВВП Факт;;;;;;;Вклад Капитала;;;;;;;Вклад Занятости;;;;;;;Вклад Совокупной производительности факторов производства c корректировкой на мультипликативный эффект и коррекцией на разницу между фактом и прогнозом на 2013-2015;;;;;
United Kingdom;1.828;1.924;1.643;1.554;1.543;1.666;;0.904;0.389;0.342;0.335;0.311;0.344;;0.331;0.282;0.068;0.027;0.069;0.112;;0.593;1.253;1.232;1.191;1.163;1.210
France;1.207;2.127;1.685;1.485;1.467;1.691;;0.873;0.821;0.637;0.457;0.381;0.574;;0.528;0.229;-0.022;-0.024;0.039;0.056;;-0.194;1.077;1.070;1.053;1.047;1.061
Italy;0.236;1.696;1.169;1.004;0.964;1.208;;0.554;0.396;0.471;0.439;0.346;0.413;;0.449;0.050;-0.477;-0.584;-0.546;-0.390;;-0.767;1.250;1.175;1.148;1.164;1.184
India;6.945;6.089;5.729;5.415;5.182;5.603;;3.286;2.399;2.002;1.791;1.695;1.971;;0.943;0.864;0.817;0.685;0.557;0.731;;2.716;2.827;2.910;2.938;2.929;2.901
Canada;2.132;2.251;1.672;1.556;1.646;1.781;;1.465;1.255;0.848;0.554;0.452;0.777;;0.834;0.416;0.093;0.148;0.275;0.233;;-0.166;0.581;0.731;0.855;0.919;0.772
Brazil;2.689;3.170;2.578;2.098;1.883;2.431;;1.216;2.010;1.740;1.365;1.110;1.556;;1.165;0.730;0.391;0.209;0.101;0.357;;0.308;0.431;0.448;0.524;0.671;0.518
Korea, Republic of;4.047;3.034;2.379;1.959;1.838;2.301;;1.769;1.614;1.294;1.000;0.795;1.175;;0.775;0.352;-0.042;-0.242;-0.280;-0.053;;1.503;1.068;1.127;1.201;1.323;1.179
Spain;1.663;1.042;1.036;0.982;0.705;0.941;;1.132;0.230;0.679;0.788;0.536;0.558;;0.746;0.323;-0.222;-0.401;-0.487;-0.198;;-0.215;0.489;0.579;0.596;0.657;0.581
Mexico;2.313;4.621;3.817;3.109;2.633;3.542;;1.561;2.189;2.003;1.679;1.430;1.825;;1.185;1.144;0.805;0.618;0.446;0.753;;-0.434;1.287;1.009;0.812;0.757;0.964
Russian Federation;3.986;3.083;2.402;2.153;1.958;2.398;;0.673;1.543;1.190;0.880;0.680;1.073;;0.495;-0.427;-0.592;-0.383;-0.323;-0.431;;2.818;1.968;1.804;1.656;1.601;1.757
Australia;2.908;2.278;1.833;1.754;1.816;1.920;;2.035;1.433;0.882;0.581;0.512;0.851;;1.137;0.618;0.470;0.508;0.523;0.530;;-0.264;0.227;0.481;0.665;0.781;0.539
World;3.038;3.456;3.042;2.765;2.562;2.955;;1.517;1.476;1.265;1.049;0.891;1.174;;0.301;0.133;0.026;0.001;0.005;0.043;;1.219;1.846;1.751;1.714;1.667;1.738
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Пессимистический;;;США;;;;;;;;;;;;;;;;;;;;;;;
;Базовый;;;Китай;;;;;;;;;;;;;;;;;;;;;;;
;Оптимистический;;;Япония;;;;;;;;;;;;;;;;;;;;;;;
;;;;Германия;;;;;;;;;;;;;;;;;;;;;;;
Сценарий;2;;;Великобритания;;;;;;;;;;;;;;;;;;;;;;;
Страна;16;;;Франция;;;;;;;;;;;;;;;;;;;;;;;
;;;;Италия;;;;;;;;;;;;;;;;;;;;;;;
;;;;Индия;;;;;;;;;;;;;;;;;;;;;;;
;;;;Канада;;;;;;;;;;;;;;;;;;;;;;;
;;;;Бразилия;;;;;;;;;;;;;;;;;;;;;;;
;;;;Южная Корея;;;;;;;;;;;;;;;;;;;;;;;
;;;;Испания;;;;;;;;;;;;;;;;;;;;;;;
;;;;Мексика;;;;;;;;;;;;;;;;;;;;;;;
;;;;Россия;;;;;;;;;;;;;;;;;;;;;;;
;;;;Австралия;;;;;;;;;;;;;;;;;;;;;;;
;;;;Мир (по рыночным курсам 2014 г.);;;;;;;;;;;;;;;;;;;;;;;
